name,email,userpassword,gender,phone,type
 Jomar Llevado ,f1@gg.com,12345,male,,faculty
Anna Fay Edulsa,f2@gg.com,12345,female,,faculty
Ulrich Uy,f3@gg.com,12345,male,,faculty
Paul Estrera,f4@gg.com,12345,male,,faculty
Vince Calo,f5@gg.com,12345,male,,faculty
Elon Musk ,f6@gg.com,12345,male,,faculty
Mark Zuckerberg ,f7@gg.com,12345,male,,faculty
Bill Gates,f8@gg.com,12345,male,,faculty
Archie Pachica,f9@gg.com,12345,male,,faculty
Jocelyn Garrido,f10@gg.com,12345,male,,faculty
Petal May Dal,f11@gg.com,12345,male,,faculty
Bill Gates,f12@gg.com,12345,male,,faculty
